candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,497939,36.52,Maharashtra,Jalna,BJP
MANGESH SANJAY SABLE,Independent,155930,11.44,Maharashtra,Jalna,IND
BAKALE PRABHAKAR DEVGAN,Vanchit Bahujan Aaghadi,37810,2.77,Maharashtra,Jalna,VBA
BABASAHEB SANTUKRAO SHELKE,Samata Party,9570,0.7,Maharashtra,Jalna,SP
CHABUKSWAR RAHUL NIRANJAN,Independent,6337,0.46,Maharashtra,Jalna,IND
NIVRUTTI VISHWNATH BANSODE,Bahujan Samaj Party,6008,0.44,Maharashtra,Jalna,BSP
DIPAK BHIMRAO BORHADE,Samnak Janta Party,5522,0.41,Maharashtra,Jalna,SJP
TANAJI TUKARAM BHOJANE,Independent,4948,0.36,Maharashtra,Jalna,IND
KAMBLE MAROTI DASHARATH,Independent,3728,0.27,Maharashtra,Jalna,IND
RAJENDRA NAMDEO MAGRE,Independent,2875,0.21,Maharashtra,Jalna,IND
MANOJ NEMINATH KOLTE,Independent,2737,0.2,Maharashtra,Jalna,IND
MUKESH PRABHAT RATHOD,Akhil Bhartiya Parivar Party,2591,0.19,Maharashtra,Jalna,ABPP
BABASAHEB PATIL SHINDE,Independent,2417,0.18,Maharashtra,Jalna,IND
KADUBA MHATARBA INGLE,Independent,1967,0.14,Maharashtra,Jalna,IND
AJHAR ANWAR SAYYAD,Independent,1546,0.11,Maharashtra,Jalna,IND
AHMAD RAHIM SAIKH BAGWAN,Independent,1394,0.1,Maharashtra,Jalna,IND
ADV. YOGESH DATTU GULLAPELLI,Independent,1342,0.1,Maharashtra,Jalna,IND
BHAGWAN SAHEBRAO REGUDE,Hindustan Janta Party,1174,0.09,Maharashtra,Jalna,HJP
DNYANESHWAR DAGDUJI NADE,Independent,1143,0.08,Maharashtra,Jalna,IND
DHANANJAY RUPRAOJI KAKDE (PATIL),Bharatheeya Jawan Kisan Party,1139,0.08,Maharashtra,Jalna,BJKP
ABDUL RAFIQ ABDUL LATIF,Independent,1047,0.08,Maharashtra,Jalna,IND
SHYAM RUSTUMRAO SHIRSATH,Bahujan Republican Socialist Party,974,0.07,Maharashtra,Jalna,BRSP
RATAN ASARAM LANDGE,Independent,647,0.05,Maharashtra,Jalna,IND
VIKAS CHHAGAN LAHANE,Independent,644,0.05,Maharashtra,Jalna,IND
SHAM PAWALS RUPEKAR,Independent,546,0.04,Maharashtra,Jalna,IND
NOTA,None of the Above,3537,0.26,Maharashtra,Jalna,NA
DR SHRIKANT EKNATH SHINDE,Shiv Sena,589636,56.38,Maharashtra,Kalyan,SS
VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),380492,36.39,Maharashtra,Kalyan,SS (UBT)
MO. SAHABUDDIN SHAIKH SULEMANI THAKUR,Vanchit Bahujan Aaghadi,18741,1.79,Maharashtra,Kalyan,VBA
PRASHANT RAMESH INGLE,Bahujan Samaj Party,11341,1.08,Maharashtra,Kalyan,BSP
AMIT UPADHYAY,Right to Recall Party,4205,0.4,Maharashtra,Kalyan,RRP
ARUN BHAURAO NITURE,Rashtriya Kisan Bahujan Party,2753,0.26,Maharashtra,Kalyan,RKBP
AMRISH RAJ MORAJKAR,Independent,2620,0.25,Maharashtra,Kalyan,IND
ASHWINI AMOL KENDRE,Independent,2468,0.24,Maharashtra,Kalyan,IND
NAFIS AHMED ANSARI,Independent,2000,0.19,Maharashtra,Kalyan,IND
SUSHILA KASHINATH KAMBLE,Bahujan Samaj Party (Ambedkar),1858,0.18,Maharashtra,Kalyan,BSP (A)
ABHIJIT WAMANRAO BICHUKALE,Independent,1824,0.17,Maharashtra,Kalyan,IND
AJAY SHYAM MORYA,Independent,1802,0.17,Maharashtra,Kalyan,IND
SAMBHAJI JAGANNATH JADHAV,Sanyukt Bharat Paksh,1609,0.15,Maharashtra,Kalyan,SBP
CHANDRAKANT RAMBHAJI MOTE,Independent,1380,0.13,Maharashtra,Kalyan,IND
POONAM JAGANNATH BAISANE,Bahujan Republican Socialist Party,1381,0.13,Maharashtra,Kalyan,BRSP
HINDURAO DADU PATIL,Rashtriya Maratha Party,1243,0.12,Maharashtra,Kalyan,RMP
GAWALI PRAVIN SHIVAJI,Apni Prajahit Party,1082,0.1,Maharashtra,Kalyan,APP
ARUN VAMAN JADHAV,Independent,1082,0.1,Maharashtra,Kalyan,IND
SHRIDHAR NARAYAN SALVE,Bhim Sena,1072,0.1,Maharashtra,Kalyan,BS
SHRIKANT SHIVAJI VANJARE,Peoples Party of India (Democratic),808,0.08,Maharashtra,Kalyan,PPI (D)
PRAJAKTA NILESH YELVE,Independent,783,0.07,Maharashtra,Kalyan,IND
DNYANESHWAR LOKHANDE MAHARAJ,Independent,741,0.07,Maharashtra,Kalyan,IND
ADV. HITESH JAIKISHAN JESWANI,Independent,715,0.07,Maharashtra,Kalyan,IND
MOHAMMAD YUSUF KHAN,Independent,653,0.06,Maharashtra,Kalyan,IND
RAKESH KUMAR DHISULAL JAIN,Independent,602,0.06,Maharashtra,Kalyan,IND
SHIVA KRISHNAMURTI IYER,Independent,437,0.04,Maharashtra,Kalyan,IND
SALIMUDDIN KHALILUDDIN SHAIKH,Independent,371,0.04,Maharashtra,Kalyan,IND
DR. SACHIN SAHEBRAO PATIL,Independent,351,0.03,Maharashtra,Kalyan,IND
NOTA,None of the Above,11686,1.12,Maharashtra,Kalyan,NA
CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,754522,54.15,Maharashtra,Kolhapur,INC
SANJAY SADASHIVRAO MANDLIK,Shiv Sena,599558,43.03,Maharashtra,Kolhapur,SS
SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,4002,0.29,Maharashtra,Kolhapur,BSP
MUSHTAK AJIJ MULLA,Independent,3824,0.27,Maharashtra,Kolhapur,IND
MADHURI RAJU JADHAV,Independent,3508,0.25,Maharashtra,Kolhapur,IND
KHADE BAJIRAO NANASO,Independent,3512,0.25,Maharashtra,Kolhapur,IND
KRUSHNABAI DIPAK CHOUGALE,Independent,3063,0.22,Maharashtra,Kolhapur,IND
KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,2975,0.21,Maharashtra,Kolhapur,DJP
ADV. YASH SUHAS HEGDEPATIL,Independent,2459,0.18,Maharashtra,Kolhapur,IND
NAGNATH PUNDALIK BENAKE,Independent,1227,0.09,Maharashtra,Kolhapur,IND
RAJANDARA BALASO KOLI,Independent,1044,0.07,Maharashtra,Kolhapur,IND
B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,1107,0.08,Maharashtra,Kolhapur,BJKP
SUBHASH VAIJU DESAI,Independent,849,0.06,Maharashtra,Kolhapur,IND
MANGESH JAYSINGH PATIL,Independent,653,0.05,Maharashtra,Kolhapur,IND
SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,651,0.05,Maharashtra,Kolhapur,ABHM
SANTOSH GANPATI BISURE,Apni Prajahit Party,639,0.05,Maharashtra,Kolhapur,APP
DR. SUNIL NAMDEV PATIL,National Black Panther Party,633,0.05,Maharashtra,Kolhapur,NBPP
KRUSHNA HANMANT DESAI,Independent,604,0.04,Maharashtra,Kolhapur,IND
IRFAN ABUTALIB CHAND,Independent,597,0.04,Maharashtra,Kolhapur,IND
MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,570,0.04,Maharashtra,Kolhapur,BRD
SANDEEP GUNDOPANT SANKPAL,Independent,544,0.04,Maharashtra,Kolhapur,IND
KUDARTULLA ADAM LATIF,Independent,467,0.03,Maharashtra,Kolhapur,IND
SALIM NURMUHAMAD BAGWAN,Independent,335,0.02,Maharashtra,Kolhapur,IND
NOTA,None of the Above,5983,0.43,Maharashtra,Kolhapur,NA
DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,609021,49.15,Maharashtra,Latur,INC
SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,547140,44.16,Maharashtra,Latur,BJP
NARSINGRAO UDGIRKAR,Vanchit Bahujan Aaghadi,42225,3.41,Maharashtra,Latur,VBA
ATITHI KHANDERAO SURYVANSHI,Swarajya Shakti Sena,5178,0.42,Maharashtra,Latur,SSS
ALTE VISHWANATH MAHADEV,Bahujan Samaj Party,5121,0.41,Maharashtra,Latur,BSP
KAMANT MACHHINDRA GUNWANTRAO,Bahujan Bharat Party,2269,0.18,Maharashtra,Latur,BBP
ABHANG GANGARAM SURYAWANSHI,Independent,2102,0.17,Maharashtra,Latur,IND
DATTU SOPAN NARSINGE,Independent,2002,0.16,Maharashtra,Latur,IND
DEEPAK KEDAR,Independent,1726,0.14,Maharashtra,Latur,IND
UMESH AMBADAS KAMBLE,Independent,1691,0.14,Maharashtra,Latur,IND
BANSODE RAGHUNATH WAGHOJI,Independent,1600,0.13,Maharashtra,Latur,IND
BHARAT HARIBA NANAWARE,Peoples Party of India (Democratic),1449,0.12,Maharashtra,Latur,PPI (D)
SHRIKANT BABURAO HOVAL,Bahujan Mukti Party,1382,0.11,Maharashtra,Latur,BMP
PRAVIN MADHAV JOHARE,Swarajya Sena (Maharashtra),1273,0.1,Maharashtra,Latur,SS (M)
PANCHSHIL VIKRAM KAMBLE,Independent,1241,0.1,Maharashtra,Latur,IND
SHANKAR HARI TADAKHE,Baliraja Party,1128,0.09,Maharashtra,Latur,BP
AMOL MALU HANMANTE,Independent,1099,0.09,Maharashtra,Latur,IND
ADV. KASBEKAR SHRIDHAR LIMBAJI,Rashtriya Sant Sandesh Party,994,0.08,Maharashtra,Latur,RSSP
BALAJI SHESHRAO BANSODE,Independent,954,0.08,Maharashtra,Latur,IND
BHIKAJI GANGARAM JADHAV,Kranti Kari Jai Hind Sena,866,0.07,Maharashtra,Latur,KKJHS
VIKAS KONDIBA SHINDE,Maharashtra Vikas Aghadi,801,0.06,Maharashtra,Latur,MVA
LAKHAN RAJARAM KAMBLE,Rashtriy Bahujan Party,795,0.06,Maharashtra,Latur,RBP
BALAJI TUKARAM GAIKWAD,Bharat Peoples Sena,683,0.06,Maharashtra,Latur,BPS
SUDHAKAR TUKARAM SURYAWANSHI,Independent,620,0.05,Maharashtra,Latur,IND
PAPITA RAOSAHEB RANDIVE,Independent,581,0.05,Maharashtra,Latur,IND
ADV. PRADIP S. CHINCHOLIKAR,Independent,533,0.04,Maharashtra,Latur,IND
MUKESH GOVINDRAO GHODAKE,Independent,525,0.04,Maharashtra,Latur,IND
PANKAJ GOPALRAO WAKHARADAKAR,Independent,513,0.04,Maharashtra,Latur,IND
NOTA,None of the Above,3567,0.29,Maharashtra,Latur,NA
MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party  Sharadchandra Pawar,622213,48.86,Maharashtra,Madha,NCPSP
RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,501376,39.37,Maharashtra,Madha,BJP
ER. RAMCHANDRA MAYAPPA GHUTUKADE,New Rashtriya Samaj Party,58421,4.59,Maharashtra,Madha,NRSP
BARASKAR RAMESH NAGNATH,Vanchit Bahujan Aaghadi,20604,1.62,Maharashtra,Madha,VBA
JANKAR SWARUP DADA,Bahujan Samaj Party,7094,0.56,Maharashtra,Madha,BSP
HAKE LAXMAN SOPAN,Independent,5134,0.4,Maharashtra,Madha,IND
SITARAM VITTHAL RANDIVE,Independent,4986,0.39,Maharashtra,Madha,IND
DHANAJI SHRIPATI MASKE,Independent,4433,0.35,Maharashtra,Madha,IND
BICHUKALE SANTOSH BALASAHEB,Republican Party of India (A),4046,0.32,Maharashtra,Madha,RPI ()
SAWANT RAHUL SHASHIKANT,Independent,3909,0.31,Maharashtra,Madha,IND
AWARE SIDDHESHWAR BHARAT,All India Forward Bloc,3067,0.24,Maharashtra,Madha,AIFB
HANUMANT NARAYAN MANE,Independent,2864,0.22,Maharashtra,Madha,IND
NANDU SAMBHAJI MORE,Independent,2687,0.21,Maharashtra,Madha,IND
NAVANATH BIRA MADANE,Independent,2435,0.19,Maharashtra,Madha,IND
GIRISH PRABHAKAR SHETE,Independent,2383,0.19,Maharashtra,Madha,IND
ADV. JORE SACHIN BHASKAR,Independent,2347,0.18,Maharashtra,Madha,IND
NANASAHEB RAMHARI YADAV,Independent,2214,0.17,Maharashtra,Madha,IND
KIRAN TANAJI SATHE,Independent,2175,0.17,Maharashtra,Madha,IND
BHAUSAHEB SUKHADEV LIGADE,Independent,2052,0.16,Maharashtra,Madha,IND
ER. BALIRAM SUKHADEV MORE,Independent,1953,0.15,Maharashtra,Madha,IND
KHARAT SANDIP JANARADHAN,Independent,1755,0.14,Maharashtra,Madha,IND
NARAYAN TATOBA KALEL,Independent,1560,0.12,Maharashtra,Madha,IND
KASHINATH KISAN DEOKATE,Independent,1279,0.1,Maharashtra,Madha,IND
GOPAL YESHVANT JADHAV,Bharatheeya Jawan Kisan Party,1289,0.1,Maharashtra,Madha,BJKP
SATYAWAN VIJAY OMBASE,Swarajya Sena (Maharashtra),1260,0.1,Maharashtra,Madha,SS (M)
SITAPURE VINOD DILIP,Independent,1191,0.09,Maharashtra,Madha,IND
ASHOK DNYANDEV WAGHMODE,Independent,989,0.08,Maharashtra,Madha,IND
ANIL BHAGAVAN SHEDAGE,Independent,982,0.08,Maharashtra,Madha,IND
AMOL MADHUKAR KARADE,Independent,903,0.07,Maharashtra,Madha,IND
RASHID ISMAIL SHAIKH,Independent,843,0.07,Maharashtra,Madha,IND
MORE ROHIT RAMKRUSHNA,Independent,671,0.05,Maharashtra,Madha,IND
SARADE GANESH NAVNATH,Independent,601,0.05,Maharashtra,Madha,IND
NOTA,None of the Above,3702,0.29,Maharashtra,Madha,NA
SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832,48.81,Maharashtra,Maval,SS
SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),596217,42,Maharashtra,Maval,SS (UBT)
MADHAVITAI NARESH JOSHI,Vanchit Bahujan Aaghadi,27768,1.96,Maharashtra,Maval,VBA
RAJARAM NARAYAN PATIL,Bahujan Samaj Party,14003,0.99,Maharashtra,Maval,BSP
ADV JYOTISHWAR VISHNU BHOSALE,Baliraja Party,10879,0.77,Maharashtra,Maval,BP
UMAKANT RAMESHWAR MISHRA,Independent,5030,0.35,Maharashtra,Maval,IND
SANJOG PATIL,Independent,4830,0.34,Maharashtra,Maval,IND
KAMBLE MARUTI APARAI,Independent,4829,0.34,Maharashtra,Maval,IND
AJAY HANUMANT LONDHE,Independent,4767,0.34,Maharashtra,Maval,IND
SANTOSH UBALE,Bhim Sena,3825,0.27,Maharashtra,Maval,BS
ADHALGE LAXMAN SADASHIV,Independent,3167,0.22,Maharashtra,Maval,IND
SUHAS MANOHAR RANE,Independent,2923,0.21,Maharashtra,Maval,IND
IQBAL IBRAHIM NAWDEKAR,Independent,2900,0.2,Maharashtra,Maval,IND
DADARAO KISAN KAMBLE,Independent,2642,0.19,Maharashtra,Maval,IND
RAHUL NIVRUTTI MADANE,Independent,2282,0.16,Maharashtra,Maval,IND
TUSHAR DIGAMBAR LONDHE,Bahujan Bharat Party,2203,0.16,Maharashtra,Maval,BBP
RAHIM MAINUDDIN SAYYAD,Aazad Samaj Party (Kanshi Ram),2149,0.15,Maharashtra,Maval,ASP (KR)
INDRAJEET D GOND,Independent,2135,0.15,Maharashtra,Maval,IND
SHIVAJI KISAN JADHAV,All India Forward Bloc,1676,0.12,Maharashtra,Maval,AIFB
YASHWANT VITTHAL PAWAR,Kranti Kari Jai Hind Sena,1638,0.12,Maharashtra,Maval,KKJHS
PRAFUL PANDIT BHOSALE,Independent,1603,0.11,Maharashtra,Maval,IND
RAJENDRA MARUTI KATE,Independent,1419,0.1,Maharashtra,Maval,IND
MAHESH THAKUR,Dharmarajya Paksha,1372,0.1,Maharashtra,Maval,DP
PRASHANT RAMKRISHNA BHAGAT,Bharatheeya Jawan Kisan Party,1291,0.09,Maharashtra,Maval,BJKP
PANKAJ PRABHAKAR OZARKAR,Akhil Bhartiya Parivar Party,1261,0.09,Maharashtra,Maval,ABPP
MANOJ BHASKAR GARBADE,Independent,1233,0.09,Maharashtra,Maval,IND
HAJRAT IMAMSAB PATEL,Independent,1093,0.08,Maharashtra,Maval,IND
GOVIND GANGARAM HERODE,Independent,966,0.07,Maharashtra,Maval,IND
MADHUKAR DAMODAR THORAT,Independent,905,0.06,Maharashtra,Maval,IND
RAFIQUE RASHID QURESHI,Desh Janhit Party,829,0.06,Maharashtra,Maval,DJP
CHIMAJI DHONDIBA SHINDE,Independent,757,0.05,Maharashtra,Maval,IND
ADV RAJU PATIL,Independent,670,0.05,Maharashtra,Maval,IND
MUKESH MANOHAR AGARWAL,Independent,547,0.04,Maharashtra,Maval,IND
NOTA,None of the Above,16760,1.18,Maharashtra,Maval,NA
PIYUSH GOYAL,Bharatiya Janata Party,680146,65.68,Maharashtra,Mumbai North,BJP
BHUSHAN PATIL,Indian National Congress,322538,31.15,Maharashtra,Mumbai North,INC
ADV. SONAL DIWAKAR GONDANE,Vanchit Bahujan Aaghadi,6052,0.58,Maharashtra,Mumbai North,VBA
RAIS DOCTOR,Bahujan Samaj Party,2923,0.28,Maharashtra,Mumbai North,BSP
PANDEY DHARMENDRA RAMMURAT,Independent,1481,0.14,Maharashtra,Mumbai North,IND
DIPTI ASHOK WALAWALKAR,Independent,1472,0.14,Maharashtra,Mumbai North,IND
COMRADE JAYRAM VISHWAKARMA,Socialist Unity Centre Of India (COMMUNIST),1195,0.12,Maharashtra,Mumbai North,SUCI (C)
MUNNALAL GAJRAJ PRAJAPATI,Independent,971,0.09,Maharashtra,Mumbai North,IND
LAXMAN YELLPPA KURADE,Independent,686,0.07,Maharashtra,Mumbai North,IND
ADVOCATE KAPIL K. SONI,Independent,633,0.06,Maharashtra,Mumbai North,IND
DEEPALI BHAWARSING SHEKHAWAT,Maharashtra Vikas Aghadi,625,0.06,Maharashtra,Mumbai North,MVA
KAMLESH DAYABHAI VYAS,Sardar Vallabhbhai Patel Party,622,0.06,Maharashtra,Mumbai North,SVPP
BIPIN BACHUBHAI SHAH,Hindu Samaj Party,508,0.05,Maharashtra,Mumbai North,HSP
GURUDAS RAMDAS KHAIRNAR,Independent,486,0.05,Maharashtra,Mumbai North,IND
RAVI BABU GAVLI,Samata Party,450,0.04,Maharashtra,Mumbai North,SP
JAEENDRA VASANT SURVE,Bharatheeya Jawan Kisan Party,405,0.04,Maharashtra,Mumbai North,BJKP
ALIEK SUNDER MESHRAM,Bharatiya Mulnivasi Aazad Party,396,0.04,Maharashtra,Mumbai North,BMAP
SAYED ZULFIQAR ALAM,Bahujan Maha Party,348,0.03,Maharashtra,Mumbai North,BMP
SANJAY MAFATLAL MORAKHIA,Independent,210,0.02,Maharashtra,Mumbai North,IND
NOTA,None of the Above,13346,1.29,Maharashtra,Mumbai North,NA
GAIKWAD VARSHA EKNATH,Indian National Congress,445545,48.93,Maharashtra,Mumbai North Central,INC
ADV UJWAL NIKAM,Bharatiya Janata Party,429031,47.12,Maharashtra,Mumbai North Central,BJP
SANTOSH GANPAT AMBULGE,Vanchit Bahujan Aaghadi,8288,0.91,Maharashtra,Mumbai North Central,VBA
AYYUB AMIN HUNGUND,Bahujan Samaj Party,3243,0.36,Maharashtra,Mumbai North Central,BSP
ANSON THOMAS,People's Party of India(secular),2211,0.24,Maharashtra,Mumbai North Central,PPI
RAMZAN ALI CHAUDHARY,All India Majlis-E-Ittehadul Muslimeen,1531,0.17,Maharashtra,Mumbai North Central,AIMM
AJAZ MOHAMMAD SAFI KHAN,Independent,1041,0.11,Maharashtra,Mumbai North Central,IND
HAYATULAH ABDULAH SHAIKH,Akhil Bharatiya Muslim League (Secular),821,0.09,Maharashtra,Mumbai North Central,ABML (S)
NAZMAKHATHUN MOHAMMED ZAFAR KHAN,Independent,732,0.08,Maharashtra,Mumbai North Central,IND
SHANTARAM S DIGHE,Independent,733,0.08,Maharashtra,Mumbai North Central,IND
NARENDRA MISHRA,Independent,708,0.08,Maharashtra,Mumbai North Central,IND
ADV ASIF ALI SIDDIQUIE,Independent,683,0.08,Maharashtra,Mumbai North Central,IND
HARSHADA BABURAV JADHAV,Maharashtra Vikas Aghadi,690,0.08,Maharashtra,Mumbai North Central,MVA
RAMA ARUN SABLE,Independent,636,0.07,Maharashtra,Mumbai North Central,IND
SANDEEP BHAU RAMCHANDRA JADHAV,Independent,623,0.07,Maharashtra,Mumbai North Central,IND
DR GAFFAR IBRAHIM SAYED,Independent,586,0.06,Maharashtra,Mumbai North Central,IND
ADV UTTAMKUMAR NAKUL SAJANI SAHU,Independent,558,0.06,Maharashtra,Mumbai North Central,IND
KHAN ABBAS AHMED,Bahujan Maha Party,428,0.05,Maharashtra,Mumbai North Central,BMP
MUSHTAQUE HAIDER SHAIKH,Independent,405,0.04,Maharashtra,Mumbai North Central,IND
DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi,391,0.04,Maharashtra,Mumbai North Central,BJVA
KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council,367,0.04,Maharashtra,Mumbai North Central,RUC
ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent,355,0.04,Maharashtra,Mumbai North Central,IND
SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,345,0.04,Maharashtra,Mumbai North Central,IP
RAJESH MOHAN LOKHANDE,Independent,289,0.03,Maharashtra,Mumbai North Central,IND
YUNUSALI RASHID MULLA,Independent,220,0.02,Maharashtra,Mumbai North Central,IND
ADV FEROZ SHAIKH,Independent,180,0.02,Maharashtra,Mumbai North Central,IND
MUZAFAR ALI SHAIKH,Independent,173,0.02,Maharashtra,Mumbai North Central,IND
NOTA,None of the Above,9749,1.07,Maharashtra,Mumbai North Central,NA
SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),450937,48.67,Maharashtra,Mumbai North East,SS (UBT)
MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,421076,45.45,Maharashtra,Mumbai North East,BJP
DAULAT KADAR KHAN,Vanchit Bahujan Aaghadi,14657,1.58,Maharashtra,Mumbai North East,VBA
NANDESH VITHAL UMAP,Bahujan Samaj Party,8318,0.9,Maharashtra,Mumbai North East,BSP
DR. SUSHMA MAURYA,Independent,2891,0.31,Maharashtra,Mumbai North East,IND
SANJAY B. PATIL,National People's Party,2764,0.3,Maharashtra,Mumbai North East,NPP
SANJU MARUTI PAWAR,Maharashtra Vikas Aghadi,2582,0.28,Maharashtra,Mumbai North East,MVA
PROF. DR. PRASHANT GANGAWANE,Desh Janhit Party,2373,0.26,Maharashtra,Mumbai North East,DJP
PREM RAMAPATI GUPTA,Independent,1601,0.17,Maharashtra,Mumbai North East,IND
MOHAMMED AHMED SHAIKH,Independent,1294,0.14,Maharashtra,Mumbai North East,IND
MOHAMMAD ARMAN MOHAMMAD WASI KHAN,Rashtriya Janhit Sangharsh Party,1090,0.12,Maharashtra,Mumbai North East,RJSP
VIDYA NAIK,Independent,979,0.11,Maharashtra,Mumbai North East,IND
BHOPINDER SINGH SAINI,Viro Ke Vir Indian Party,946,0.1,Maharashtra,Mumbai North East,VKVIP
BANSODE DILIP,Independent,838,0.09,Maharashtra,Mumbai North East,IND
BHAWANI H. CHOUDHARY,Sardar Vallabhbhai Patel Party,746,0.08,Maharashtra,Mumbai North East,SVPP
DATTATRAY ARJUN UTEKAR,Bharatheeya Jawan Kisan Party,711,0.08,Maharashtra,Mumbai North East,BJKP
COMRADE SURENDRA SIBAG,All India Forward Bloc,678,0.07,Maharashtra,Mumbai North East,AIFB
SHAHAJI NANAI THORAT,Independent,650,0.07,Maharashtra,Mumbai North East,IND
SANJAY SAOJI DESHPANDE,Republican Party of India,641,0.07,Maharashtra,Mumbai North East,RPI
SANJAY PATIL,Independent,524,0.06,Maharashtra,Mumbai North East,IND
NOTA,None of the Above,10173,1.1,Maharashtra,Mumbai North East,NA
AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596,47.4,Maharashtra,Mumbai North West,SS (UBT)
RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644,47.4,Maharashtra,Mumbai North West,SS
PARMESHWAR ASHOK RANSHUR,Vanchit Bahujan Aaghadi,10052,1.05,Maharashtra,Mumbai North West,VBA
RAJESH RAMKISAN MALLAH,Bahujan Samaj Party,4812,0.5,Maharashtra,Mumbai North West,BSP
SAMEER MORE,Independent,3173,0.33,Maharashtra,Mumbai North West,IND
SUNIL BHIMA CHAVAN,Independent,2002,0.21,Maharashtra,Mumbai North West,IND
BALA VENKATESH VINAYAK NADAR,Aapki Apni Party (Peoples),1763,0.18,Maharashtra,Mumbai North West,AAP (P)
ARORA SURINDER MOHAN,Bharat Jan Aadhar Party,1675,0.18,Maharashtra,Mumbai North West,BJAP
ROHAN SATONE,Independent,1479,0.15,Maharashtra,Mumbai North West,IND
ADV. SANJEEVKUMAR APPARAV KALKORI,Independent,1197,0.13,Maharashtra,Mumbai North West,IND
ADV. LATA PANDURANG SHINDE,Independent,1154,0.12,Maharashtra,Mumbai North West,IND
MANOJ SHRAVAN NAYAK,Right to Recall Party,1149,0.12,Maharashtra,Mumbai North West,RRP
HRUDA DHANANJAY SHINDE,Independent,1078,0.11,Maharashtra,Mumbai North West,IND
BHARAT KHIMJI SHAH,Hindu Samaj Party,937,0.1,Maharashtra,Mumbai North West,HSP
SUSHMA DAYANAND MEHTA,Independent,882,0.09,Maharashtra,Mumbai North West,IND
ADVOCATE KAPIL KANTILAL SONI,Independent,780,0.08,Maharashtra,Mumbai North West,IND
SARIKA DABRAL,India Greens Party,768,0.08,Maharashtra,Mumbai North West,IGP
GAJANAN TUKARAM SONKAMBLE,Independent,501,0.05,Maharashtra,Mumbai North West,IND
ADV MITESH VARSHNEY,Bhim Sena,497,0.05,Maharashtra,Mumbai North West,BS
HARISHANKAR YADAV,Samaj Vikas Kranti Party,405,0.04,Maharashtra,Mumbai North West,SVKP
SANTOSH MANIK RAYBAN,Independent,234,0.02,Maharashtra,Mumbai North West,IND
NOTA,None of the Above,15161,1.59,Maharashtra,Mumbai North West,NA
ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),395655,51.18,Maharashtra,Mumbai South,SS (UBT)
YAMINI YASHWANT JADHAV,Shiv Sena,342982,44.36,Maharashtra,Mumbai South,SS
AFZAL S. DAWOODANI,Vanchit Bahujan Aaghadi,5612,0.73,Maharashtra,Mumbai South,VBA
MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,4478,0.58,Maharashtra,Mumbai South,BSP
ARVIND NARAYAN SAWANT,Independent,3090,0.4,Maharashtra,Mumbai South,IND
MOHD. NAEEM SHAIKH,Aim Political Party,1715,0.22,Maharashtra,Mumbai South,APP
SABEEHA KHAN,Independent,1694,0.22,Maharashtra,Mumbai South,IND
GOHIL MANISHA SHIVRAM,Independent,1045,0.14,Maharashtra,Mumbai South,IND
SHANKAR SONAWANE,Independent,862,0.11,Maharashtra,Mumbai South,IND
RAHUL PHANASWADIKAR,Lokshahi Ekta Party,787,0.1,Maharashtra,Mumbai South,LEP
SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,567,0.07,Maharashtra,Mumbai South,RKBP
PRASHANT PRAKASH GHADGE,Independent,490,0.06,Maharashtra,Mumbai South,IND
MOHAMMED MAHTAB SHAIKH,Independent,458,0.06,Maharashtra,Mumbai South,IND
MATEEN AHMED RANGREJ,Independent,267,0.03,Maharashtra,Mumbai South,IND
NOTA,None of the Above,13411,1.73,Maharashtra,Mumbai South,NA
